task,response
Find me a table for four for dinner tonight,Create Google Calendar event for find me a table for four for dinner tonight
Book a table for today's lunch at Eggy's Diner for 3 people,Create Google Calendar event for book a table for today's lunch at eggy's diner for 3 people
Book a table at a restaurant near Times Square for 2 people tomorrow night,Create Google Calendar event for book a table at a restaurant near times square for 2 people tomorrow night
Book a table for friday 8pm for 2 people at Katz's Delicatessen,Create Google Calendar event for book a table for friday 8pm for 2 people at katz's delicatessen
Book a table at Joan's on Third for my family reunion on Saturday,Create Google Calendar event for book a table at joan's on third for my family reunion on saturday
I'd like a table in a peaceful restaurant around Times Square,Create Google Calendar event for i'd like a table in a peaceful restaurant around times square
Book a table at Seven Hills for 6 people with a nice view,Create Google Calendar event for book a table at seven hills for 6 people with a nice view
Book a table for 6 people at Mr Donahue's for tomorrow's lunch,Create Google Calendar event for book a table for 6 people at mr donahue's for tomorrow's lunch
Book a restaurant for 6 near my morning meeting tomorrow at 1pm,Create Google Calendar event for book a restaurant for 6 near my morning meeting tomorrow at 1pm
I want reservations to grab brunch for 5 in hells kitchen tomorrow,Create Google Calendar event for i want reservations to grab brunch for 5 in hells kitchen tomorrow
Book a table for Sophie and me at the Red Lobster tonight,Create Google Calendar event for book a table for sophie and me at the red lobster tonight
Book a table for 3 people at a restaurant that serve tapas and wine for tonight,Create Google Calendar event for book a table for 3 people at a restaurant that serve tapas and wine for tonight
Book a table near my London hotel next Wednesday evening,Create Google Calendar event for book a table near my london hotel next wednesday evening
Book me a table for 8:45pm at a restaurant with wifi near my Airbnb,Create Google Calendar event for book me a table for 8:45pm at a restaurant with wifi near my airbnb
Figure out if I can get a reservation at Ma Peche after the concert,Create Google Calendar event for figure out if i can get a reservation at ma peche after the concert
Book a table for four people at Tapestry for 9pm tonight,Create Google Calendar event for book a table for four people at tapestry for 9pm tonight
Get me a spot at Ippudo for lunch,Create Google Calendar event for get me a spot at ippudo for lunch
Book a table at the best chinese restaurant in town for today's lunch,Create Google Calendar event for book a table at the best chinese restaurant in town for today's lunch
Book a restaurant for brunch next Sunday,Create Google Calendar event for book a restaurant for brunch next sunday
Book me a table for 2 people at the sushi place next to the show tomorrow night,Create Google Calendar event for book me a table for 2 people at the sushi place next to the show tomorrow night
Make a reservation for 4 people for today's lunch at Daniel,Create Google Calendar event for make a reservation for 4 people for today's lunch at daniel
Book a table for four people at Mondrian Soho for 8pm,Create Google Calendar event for book a table for four people at mondrian soho for 8pm
Get me a table at Din Tai Fung for the 4th of December at 12:30,Create Google Calendar event for get me a table at din tai fung for the 4th of december at 12:30
Get me a table at a restaurant nearby that is not too crowded for tomorrow evening,Create Google Calendar event for get me a table at a restaurant nearby that is not too crowded for tomorrow evening
Find me an outdoor table at Five leaves for 3,Create Google Calendar event for find me an outdoor table at five leaves for 3
Get me a table at Delmonico's next monday at 8pm,Create Google Calendar event for get me a table at delmonico's next monday at 8pm
We are a party of 4 people and we want to book a table at Seven Hills for sunset,Create Google Calendar event for we are a party of 4 people and we want to book a table at seven hills for sunset
I need reservations at Quince at 9:30,Create Google Calendar event for i need reservations at quince at 9:30
Make a reservation at Delmonico's on Saturday 8pm for 10 people,Create Google Calendar event for make a reservation at delmonico's on saturday 8pm for 10 people
Book a table at an italian restaurant nearby for dinner with 5 people,Create Google Calendar event for book a table at an italian restaurant nearby for dinner with 5 people
Book a table at the nearest sushi restaurant for 2 for 1pm,Create Google Calendar event for book a table at the nearest sushi restaurant for 2 for 1pm
Book me a table for 4 at Delmonico's around 8pm this friday,Create Google Calendar event for book me a table for 4 at delmonico's around 8pm this friday
Is there a table for boozy brunch at around 11 nearby?,Create Google Calendar event for is there a table for boozy brunch at around 11 nearby?
Need a table for lunch to eat steak near penn station,Create Google Calendar event for need a table for lunch to eat steak near penn station
Get me a table at a restaurant near Emily's place for tomorrow 9pm,Create Google Calendar event for get me a table at a restaurant near emily's place for tomorrow 9pm
Book a table for 5 people at the restaurant I'm used to going to every week,Create Google Calendar event for book a table for 5 people at the restaurant i'm used to going to every week
Make a reservation for breakfast at Batter & Berries tomorrow,Create Google Calendar event for make a reservation for breakfast at batter & berries tomorrow
Get me a place near chelsea with good brunch cocktails tomorrow at 10,Create Google Calendar event for get me a place near chelsea with good brunch cocktails tomorrow at 10
Book a table for two people at a restaurant near work,Create Google Calendar event for book a table for two people at a restaurant near work
Table for a group of 12 near west village tomorrow? go!,Create Google Calendar event for table for a group of 12 near west village tomorrow? go!
I want a reservation for 5 at Alinea,Create Google Calendar event for i want a reservation for 5 at alinea
Make a reservation for 4 people for today's lunch at a Starbucks nearby,Create Google Calendar event for make a reservation for 4 people for today's lunch at a starbucks nearby
Get me a table at a good deli near Mission Dolores Park for lunch,Create Google Calendar event for get me a table at a good deli near mission dolores park for lunch
Please book a table at Delmonico's this evening for 3 at 8pm,Create Google Calendar event for please book a table at delmonico's this evening for 3 at 8pm
I need a reservation for five people at Galli for friday night,Create Google Calendar event for i need a reservation for five people at galli for friday night
"Can you make a reservation at a lebanese restaurant nearby, for lunch, party of 5?","Create Google Calendar event for can you make a reservation at a lebanese restaurant nearby, for lunch, party of 5?"
See if there's a table outside for noon at that fried chicken restaurant I like,Create Google Calendar event for see if there's a table outside for noon at that fried chicken restaurant i like
Book a table at Chops Lobster Bar for 5 people at 7:30pm,Create Google Calendar event for book a table at chops lobster bar for 5 people at 7:30pm
I want to find a reservation at an old red sauce joint at 6,Create Google Calendar event for i want to find a reservation at an old red sauce joint at 6
Book a table for 3 people at the restaurant I went to last week,Create Google Calendar event for book a table for 3 people at the restaurant i went to last week
